,bucket,delay,delayTime
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5
