,data
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
1,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
1,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
1,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
1,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
1,this gridlabd test_R2-12.47-1.glm
2,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
1,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
1,this gridlabd test_R2-12.47-1.glm
2,this gridlabd test_R2-12.47-1.glm
3,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
1,this gridlabd test_R2-12.47-1.glm
2,this gridlabd test_R2-12.47-1.glm
3,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
1,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
1,this gridlabd test_R2-12.47-1.glm
2,this gridlabd test_R2-12.47-1.glm
3,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
1,this gridlabd test_R2-12.47-1.glm
2,this gridlabd test_R2-12.47-1.glm
3,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
1,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
1,this gridlabd test_R2-12.47-1.glm
2,this gridlabd test_R2-12.47-1.glm
3,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
1,this gridlabd test_R2-12.47-1.glm
2,this gridlabd test_R2-12.47-1.glm
3,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
1,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
1,this gridlabd test_R2-12.47-1.glm
2,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
1,this gridlabd test_R2-12.47-1.glm
2,this gridlabd test_R2-12.47-1.glm
3,this gridlabd test_R2-12.47-1.glm
4,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
1,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
1,this gridlabd test_R2-12.47-1.glm
2,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
1,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
1,this gridlabd test_R2-12.47-1.glm
2,this gridlabd test_R2-12.47-1.glm
3,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
1,this gridlabd test_R2-12.47-1.glm
2,this gridlabd test_R2-12.47-1.glm
3,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
1,this gridlabd test_R2-12.47-1.glm
2,this gridlabd test_R2-12.47-1.glm
3,this gridlabd test_R2-12.47-1.glm
4,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
1,this gridlabd test_R2-12.47-1.glm
2,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
1,this gridlabd test_R2-12.47-1.glm
2,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
1,this gridlabd test_R2-12.47-1.glm
2,this gridlabd test_R2-12.47-1.glm
3,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
1,this gridlabd test_R2-12.47-1.glm
2,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
1,this gridlabd test_R2-12.47-1.glm
2,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
1,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
1,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
1,this gridlabd test_R2-12.47-1.glm
2,this gridlabd test_R2-12.47-1.glm
3,this gridlabd test_R2-12.47-1.glm
4,this gridlabd test_R2-12.47-1.glm
5,this gridlabd test_R2-12.47-1.glm
6,this gridlabd test_R2-12.47-1.glm
7,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
1,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
1,this gridlabd test_R2-12.47-1.glm
2,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
1,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
1,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
1,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
1,this gridlabd test_R2-12.47-1.glm
2,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
1,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
1,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
1,this gridlabd test_R2-12.47-1.glm
2,this gridlabd test_R2-12.47-1.glm
3,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
1,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
1,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
